license_number,business_name,profession,status,expiration_date,original_issue_date,street,street2,city,state,zip,county,discipline_on_file,public_complaint,data_as_of,last_checked,notes
MM43398,Life Massage LLC,Massage Establishment,Clear,2027-08-31,2022-11-16,2719 SE FALL ST,,Port St. Lucie,FL,34984,St. Lucie,False,False,2026-09-11,2026-09-11,Phone: (561) 631-1586 | Address matches exactly.
MM17617,The Sanctuary Spa,Massage Establishment,Clear,2027-08-31,2005-12-14,1555 NW St. Lucie W Blvd,Suite 101,Port St. Lucie,FL,34986,St. Lucie,False,False,2026-09-11,2026-09-11,"Phone: (772) 345-7727 | Licensed as 'The Sanctuary Spa at Tradition, Inc.' Address matches exactly."
MM44054,Ping's Spa (Studio),Massage Establishment,Clear,2027-08-31,2023-06-02,1100 SW St Lucie W Blvd,Suite 110,Port St. Lucie,FL,34986,St. Lucie,False,False,2026-09-11,2026-09-11,Phone: (772) 284-7100 | Licensed as 'Ping's Spa LLC'. Address matches exactly.
MM37243,Veena Therapeutic Massage and Spa,Massage Establishment,Clear,2027-08-31,2017-11-01,439 SE Port St Lucie Blvd,Unit 109,Port St. Lucie,FL,34984,St. Lucie,False,False,2026-09-11,2026-09-11,Phone: (772) 834-8258 | Address matches exactly.
MM47102,Jessica Jacobs Massage,Massage Establishment,Clear,2027-08-31,2025-10-24,1680 SW Bayshore Blvd,Rm #118,Port St. Lucie,FL,34984,St. Lucie,False,False,2026-09-11,2026-09-11,Phone: (561) 578-7832 | Licensed under 'Jessica Jacobs Massage' DBA 'Jessica Fox'. Address matches closely (Rm #118 vs Ste 118).
MM23468,Ah...Massage & Skincare,Massage Establishment,Clear,2027-08-31,2009-08-03,451 SW Bethany Drive,Suite 102,Port St. Lucie,FL,34986,St. Lucie,False,False,2026-09-11,2026-09-11,"Phone: (772) 828-1599 | Current license MM23468 is Clear and address matches exactly; several related licenses under the same name are void or relinquished. | License history: Predecessor/related, all under 'AH...Massage, LLC': MM24930 (Vol Relinquish, Port St Lucie); MM28704 (Null And Void, Port St Lucie); MM29872 (Vol Relinquish, Stuart)."
MM45906,Village SPA,Massage Establishment,Clear,2027-08-31,2024-12-04,3126 SW Martin Downs Blvd,,Palm City,FL,34990,Martin,False,False,2026-09-11,2026-09-11,"Phone: (772) 600-8512 | Currently licensed under Xiling Service LLC, DBA 'Village Spa'. Address matches exactly; predecessor entity at same address is Null And Void. | License history: Predecessor: MM44763 (Village Spa at Martin Downs Inc., Palm City) - Null And Void."
MM42328,KOA Spa Massage,Massage Establishment,Clear,2027-08-31,2022-01-12,721 NORTHLAKE BLVD,STE C,North Palm Beach,FL,33408,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 429-6714 | Current license MM42328 (MOON THERAPY INC, DBA KOA SPA) is Clear at 721 Northlake Blvd Ste C. Predecessors MM26506 / MM30931 / MM32858 (KOA SPA INC, North Palm Beach) are all Null And Void. Confirm ownership continuity via Sunbiz. | License history: Predecessors: MM26506, MM30931, MM32858 KOA SPA INC (North Palm Beach) - all Null And Void."
MM44822,Recover Massage,Massage Establishment,Clear,2027-08-31,2024-01-10,908 Northlake Blvd,,Lake Park,FL,33403,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 508-2659 | Clean license MM44822 (RECOVER MASSAGE LLC) at 908 Northlake Blvd, Lake Park. No discipline, no complaints."
MM47980,Northlake Massage,Massage Establishment,Clear,2027-08-31,2026-08-25,617 Northlake Blvd,,North Palm Beach,FL,33408,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 322-0480 | Clean license MM47980 (Northlake Jade Spa Inc) at 617 Northlake Blvd, North Palm Beach. Address matches. No discipline, no complaints."
MM33706,Massage Asia,Massage Establishment,Clear,2027-08-31,2015-04-29,3650 FOREST HILL BLVD,UNIT 4,West Palm Beach,FL,33406,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 357-4688 | Clear license MM33706 (MASSAGE ASIA LLC, 3650 Forest Hill Blvd Unit 4, West Palm Beach). Predecessor MM21592 (MASSAGE ASIA, LLC, West Palm Bch) is Null And Void — verify ownership continuity via Sunbiz. | License history: Predecessor: MM21592 MASSAGE ASIA, LLC (West Palm Bch) - Null And Void."
MM42099,My Spa Asia,Massage Establishment,Clear,2027-08-31,2021-10-28,3060 S. JOG ROAD,,Greenacres,FL,33467,Palm Beach,True,True,2026-09-11,2026-09-11,"Phone: (561) 900-5107 | Clear license MM42099 (XINGXING MY SPA ASIA LLC, 3060 S. Jog Road, Green Acres). Predecessor MM33529 (MY SPA ASIA, Greenacres) is Null And Void. Discipline and public complaint are both on file — click Discipline/Admin Action tab. | License history: Predecessor: MM33529 MY SPA ASIA (Greenacres) - Null And Void."
MM46493,Crystal Massage & Foot Spa,Massage Establishment,Clear,2027-08-31,2025-06-09,7318 LAKE WORTH RD,,Lake Worth Beach,FL,33467,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 429-6796 | Current license MM46493 (Vandercrest Health LLC) is Clear at 7318 Lake Worth Rd. Predecessor MM45110 (LUKE INVESTMENT GROUP LLC, DBA Crystal Massage & Foot Spa) is Vol Relinquish — Emergency Suspension Order filed 05/16/2025 (Case 202507032). Verify ownership continuity via Sunbiz. | License history: Predecessor: MM45110 LUKE INVESTMENT GROUP LLC (Lake Worth) - Vol Relinquish; Emergency Suspension Order 05/16/2025."
MM41620,FlamingoLakeWorth Massage,Massage Establishment,Clear,2027-08-31,2021-06-17,6295 Lake Worth Rd,Ste 22,Greenacres,FL,33463,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 570-0596 | Clean license MM41620 (Flamingo Lake Worth Inc), address matches 6295 Lake Worth Rd Ste 22. No discipline, no complaints, no predecessor void licenses."
MM45357,Zen Foot Massage,Massage Establishment,Clear,2027-08-31,2024-05-21,5891 S Military Trail,#03A,Lake Worth Beach,FL,33463,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 327-9628 | Current license MM45357 (Miaoyan Corporation) is Clear at 5891 S Military Trail #03A. Predecessor MM34949 RUI HE CORPORATION, DBA ZEN FOOT MASSAGE (Greenacres) is Disc Relinquish — Case 202421190 Voluntary Surrender, complaint AC Filed. | License history: Predecessor: MM34949 RUI HE CORPORATION (Greenacres) - Disc Relinquish (Case 202421190)."
MM38184,Healthy Massage Spa,Massage Establishment,Clear,2027-08-31,2018-06-18,13800 JOG RD,#104,Delray Beach,FL,13800,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 270-3088 | Clean license MM38184 (Healthy massage SPA). Address matches 13800 Jog Rd #104 (DOH lists city as Delray Beach, directory groups it in the Greenacres / Lake Worth Rd corridor). No discipline, no complaints."
MM37309,Healing Massage Spa,Massage Establishment,Clear,2027-08-31,2017-11-14,15200 S Jog Rd B14,,Delray Beach,FL,15200,Palm Beach,False,False,2026-09-11,2026-09-11,"Phone: (561) 359-3381 | Clean license MM37309 (Healing Massage Spa Inc). Address matches 15200 S Jog Rd B14 (DOH lists city as Delray Beach). No discipline, no complaints."
MM41109,Halo Asian Spa,Massage Establishment,Clear,2027-08-31,2020-12-14,975 West Gateway Blvd,Suite 105,Boynton Beach,FL,33426,Palm Beach,False,False,2026-09-09,2026-09-09,"Phone: (561) 508-5453 | Active clear license; predecessor MM34578 voluntarily relinquished - confirm same ownership via Sunbiz before treating as fully clean. | License history: Predecessor: MM34578 HALO ASIAN SPA, INC (Boynton Beach) - Vol Relinquish (logged as appended row). | Sweep status: License Clear, no discipline/complaints; predecessor void license on file."
MM38023,Health Spa Ocean Ave,Massage Establishment,Clear,2027-08-31,2018-05-09,634 E Ocean Ave,,Boynton Beach,FL,33435,Palm Beach,False,False,2026-09-09,2026-09-09,"Phone: (561) 509-8576 | Clean license, no discipline/complaints, no predecessor void licenses found at this address. | Sweep status: License Clear, no discipline/complaints."
MM43362,Bao Foot Spa,Massage Establishment,Clear,2027-08-31,2022-11-03,1313 W. BOYNTON BEACH BLVD,UNIT 10,Boynton Beach,FL,33426,Palm Beach,False,False,2026-09-09,2026-09-09,"Phone: (561) 740-7744 | Active; same-brand predecessors void - confirm ownership continuity via Sunbiz. | License history: Same-brand predecessors: MM34057 BAO FOOT SPA 1 LLC (Boynton Beach) - Disc Relinquish; MM42324 Bao Foot Spa A LLC (Boynton Beach) - Null And Void (logged as appended rows). | Sweep status: License Clear, no discipline/complaints; same-brand predecessors void/relinquished."
MM46558,Sunshine Spa,Massage Establishment,Clear,2027-08-31,2025-06-27,5180 W ATLANTIC AVE,STE 120,Delray Beach,FL,33484,Palm Beach,False,False,2026-09-09,2026-09-09,"Phone: (561) 431-1988 | Active; same-name Delray predecessor void - confirm ownership continuity via Sunbiz. | License history: Same-name predecessor: MM39448 SUNSHINE SPA LLC (Delray Beach) - Null And Void (logged as appended row). | Sweep status: License Clear, no discipline/complaints; same-name predecessor void in Delray Beach."
MM35724,Heaven Meets Earth Massage Inc,Massage Establishment,Clear,2027-08-31,2016-09-27,3130-B SOUTH CONGRESS AVE,,Lake Worth Beach,FL,33461,Palm Beach,False,False,2026-09-10,2026-09-10,"Phone: (561) 577-4556 | DOH record lists city as Lake Worth (zip 33461); directory has Delray Beach. Same street address (3130 S Congress Ave, Suite B). Verify correct city designation."
MM20343,Amore salon&spa,Massage Establishment,Clear,2027-08-31,2007-09-26,3497 S CONGRESS AVE,,Palm Springs,FL,33461,Palm Beach,False,False,2026-09-10,2026-09-10,Phone: (561) 649-3435 | DOH record lists city as Palm Springs (zip 33461); directory has Delray Beach. Same street address (3497 S Congress Ave). Verify correct city designation.
MM45363,The Haven Luxe Spa,Massage Establishment,Clear,2027-08-31,2024-05-21,247 SE 6th Ave.,Suite #3,Delray Beach,FL,33483,Palm Beach,False,False,2026-09-10,2026-09-10,Phone: (561) 330-4084 | Licensed under Specialty Brands International LLC (The Haven Luxe Spa). Address matches exactly.
MM44067,Lucky Angel Spa,Massage Establishment,Clear,2027-08-31,2023-06-06,3205 S. Federal Hwy.,,Delray Beach,FL,33483,Palm Beach,False,False,2026-09-10,2026-09-10,Phone: (561) 819-2711 | Address matches exactly.
MM35454,The Palace Foot & Body Massage,Massage Establishment,Clear,2027-08-31,2016-07-26,5859 W. ATLANTIC AVE B-3,,Delray Beach,FL,33484,Palm Beach,False,False,2026-09-10,2026-09-10,"Phone: (561) 501-6288 | Licensed under Body Key Boca Raton Inc, DBA 'The Palace Foot Spa'; directory lists 'The Palace Foot & Body Massage'. Same address; verify current DBA name."
MM40470,Elements Massage - Delray Beach,Massage Establishment,Clear,2027-08-31,2020-03-13,4961- B W. Atlantic Avenue,,Delray Beach,FL,33445,Palm Beach,False,False,2026-09-10,2026-09-10,"Phone: (561) 493-3550 | Licensed under Allenic Enterprises, LLC., DBA 'Elements Massage Delray Beach'. Address matches."
MM44138,Loosen Up Massage,Massage Establishment,Clear,2027-08-31,2023-06-28,258 SE 6th Ave.,Suite 14,Delray Beach,FL,33483,Palm Beach,False,False,2026-09-10,2026-09-10,"Phone: (561) 274-3630 | Current license MM44138 is Clear and address matches, but several predecessor/near-identical 'Loosen Up' licenses in the same city are void or relinquished. Verify continuity via Sunbiz before downgrading to Green. | License history: Predecessor: MM16274 (Loosen Up Massage, Delray Beach) - Vol Relinquish; MM35244 (Loosen Up LLC, Delray Beach) - Null And Void. Also MM18612, MM19324 (Loosen Up Massage, Boca Raton) - Null And Void."
MM34388,Asian Spa Massage,Massage Establishment,Clear,2027-08-31,2015-11-02,258 SE 6TH AVE,#7,Delray Beach,FL,33483,Palm Beach,False,False,2026-09-10,2026-09-10,"Phone: (561) 525-2702 | Licensed under Amazing W LLC, DBA 'Asian Spa Massage'. Address matches exactly."
MM42000,Tammy Fender Holistic Spa,Massage Establishment,Clear,2027-08-31,2021-10-04,10 n ocean Blvd,,Delray Beach,FL,33483,Palm Beach,False,False,2026-09-10,2026-09-10,"Phone: (561) 278-8111 | Licensed under TF spa management llc, DBA 'Tammy Fender Holistic Spa'. Address matches."
MM47083,Ooh La La Spa,Massage Establishment,Clear,2027-08-31,2025-10-21,3185 S Federal Hwy,,Delray Beach,FL,33483,Palm Beach,False,False,2026-09-10,2026-09-10,Phone: (561) 501-5370 | Address matches exactly.
MM45806,A Dania Massage Spa INC,Massage Establishment,Clear,2027-08-31,2024-10-21,265 S FEDERAL HWY,UNIT H,Dania Beach,FL,33004,Broward,False,False,2026-09-11,2026-09-11,Phone: (754) 295-1360 | Address matches exactly (265 S Federal Hwy Unit H).
MM47465,You're In Good Hands Spa MM#47465,Massage Establishment,Clear,2027-08-31,2026-02-26,5700 LAKE WORTH RD,SUITE 201-M,Greenacres,FL,33463,Palm Beach,False,False,2026-09-11,2026-09-11,Phone: (786) 661-7111 | Address matches exactly (5700 Lake Worth Rd Ste 201-M).
MM47580,SERENE SALT ESCAPE LLC,Massage Establishment,Clear,2027-08-31,2026-05-14,11055 SW 186TH ST,SUITE 102,Cutler Bay,FL,11055,Miami-Dade,False,False,2026-09-11,2026-09-11,Phone: (786) 505-3607 | Address matches exactly (11055 SW 186th St Suite 102).
MM43835,Green Massage of Plantation,Massage Establishment,Clear,2027-08-31,2023-03-31,331 N. University Drive,Suite M2300,Plantation,FL,33324,Broward,False,False,2026-09-09,2026-09-09,Portal record: https://mqa-internet.doh.state.fl.us/MQASearchServices/HealthcareProviders/LicenseVerificationPractitionerPrintFriendly?LicInd=49425&Procde=1402&HasArnpAprnRelationship=False
MM45534,ZHANG CORPORATION,Massage Establishment,Clear,2027-08-31,2024-06-27,10833 JOG RD,STE 184,Boynton Beach,FL,10833,Palm Beach,False,False,2026-09-09,2026-09-09,Portal record: https://mqa-internet.doh.state.fl.us/MQASearchServices/HealthcareProviders/LicenseVerificationPractitionerPrintFriendly?LicInd=53394&Procde=1402&HasArnpAprnRelationship=False
MM41565,HEALTH SPA FLORIDA LLC,Massage Establishment,Clear,2027-08-31,2021-05-28,3300 NE 33 STREET,,Fort Lauderdale,FL,33308,Broward,False,False,2026-09-09,2026-09-09,Portal record: https://mqa-internet.doh.state.fl.us/MQASearchServices/HealthcareProviders/LicenseVerificationPractitionerPrintFriendly?LicInd=45035&Procde=1402&HasArnpAprnRelationship=False
